データ名,LAP,日付,時刻,タイム,"最高速 km/h","キョリ km",ドライバ名,セクタ,,,,,ドリフト(度),
20250720_0910,0001,2025/07/20,09:11:14,1:05.272,115.20,1.315,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0002,2025/07/20,09:12:19,1:05.117,115.34,1.317,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0003,2025/07/20,09:13:24,1:10.270,116.34,1.322,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0004,2025/07/20,09:14:35,5:36.228,117.19,2.732,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0005,2025/07/20,09:20:11,1:09.504,114.79,1.319,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0006,2025/07/20,09:21:20,1:07.034,115.55,1.320,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0007,2025/07/20,09:22:28,1:07.648,116.40,1.320,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0008,2025/07/20,09:23:35,1:08.084,116.63,1.318,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0009,2025/07/20,09:24:43,1:05.849,116.26,1.319,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0010,2025/07/20,09:25:49,4:29.247,114.98,2.718,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0011,2025/07/20,09:30:18,1:07.423,115.81,1.321,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0012,2025/07/20,09:31:26,1:13.710,112.76,1.325,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0013,2025/07/20,09:32:39,1:06.334,114.00,1.317,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0014,2025/07/20,09:33:46,1:10.036,114.50,1.322,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0015,2025/07/20,09:34:56,1:14.668,116.03,1.324,20250721東北660耐久rd2,,,,,,-,0
20250720_0910,0016,2025/07/20,09:36:11,11:23.378,116.00,1.487,20250721東北660耐久rd2,,,,,,-,0
