データ名,LAP,日付,時刻,タイム,"最高速 km/h","キョリ km",ドライバ名,セクタ,,,,,ドリフト(度),
20250720_0956,0001,2025/07/20,09:57:10,1:05.908,116.85,1.330,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0002,2025/07/20,09:58:15,1:09.226,116.99,1.322,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0003,2025/07/20,09:59:25,1:06.263,117.44,1.319,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0004,2025/07/20,10:00:31,1:06.421,116.20,1.336,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0005,2025/07/20,10:01:37,1:05.937,115.96,1.324,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0006,2025/07/20,10:02:43,1:05.493,116.46,1.325,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0007,2025/07/20,10:03:49,1:05.596,116.98,1.321,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0008,2025/07/20,10:04:54,1:11.379,116.94,1.321,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0009,2025/07/20,10:06:06,1:10.172,116.68,1.337,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0010,2025/07/20,10:07:16,1:06.816,117.01,1.323,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0011,2025/07/20,10:08:23,1:10.748,113.40,1.328,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0012,2025/07/20,10:09:34,1:16.594,116.42,1.329,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0013,2025/07/20,10:10:50,1:07.384,117.19,1.326,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0014,2025/07/20,10:11:58,1:18.540,116.50,1.336,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0015,2025/07/20,10:13:16,1:05.993,116.75,1.322,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0016,2025/07/20,10:14:22,1:05.811,116.76,1.322,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0017,2025/07/20,10:15:28,1:08.722,117.20,1.328,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0018,2025/07/20,10:16:37,1:05.411,116.08,1.321,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0019,2025/07/20,10:17:42,4:51.227,115.99,2.737,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0020,2025/07/20,10:22:33,1:07.109,115.77,1.322,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0021,2025/07/20,10:23:40,1:10.490,116.22,1.333,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0022,2025/07/20,10:24:51,1:06.241,117.19,1.326,20250721東北660耐久rd2,,,,,,-,0
20250720_0956,0023,2025/07/20,10:25:57,2:23.454,116.52,1.441,20250721東北660耐久rd2,,,,,,-,0
